date,index_code,index_name,close,pe_ttm,pe_static,pb,dividend_yield,bond_yield
2020-08-11,000015,上证红利,2610.1000,6.4600,6.2700,0.7600,7.9687,2.9544
2020-08-12,000015,上证红利,2602.8200,6.4700,6.2800,0.7600,7.9569,2.9620
2020-08-13,000015,上证红利,2623.4700,6.4600,6.2800,0.7600,7.9569,2.9555
2020-08-14,000015,上证红利,2638.5200,6.5100,6.3200,0.7700,7.8870,2.9369
2020-08-17,000015,上证红利,2697.9200,6.6400,6.4400,0.7800,7.7508,2.9421
2020-08-18,000015,上证红利,2700.3400,6.5800,6.3900,0.7800,7.8070,2.9771
2020-08-19,000015,上证红利,2685.2000,6.5500,6.3600,0.7700,7.8525,2.9921
2020-08-20,000015,上证红利,2668.4000,6.5100,6.3100,0.7700,7.8870,2.9973
2020-08-21,000015,上证红利,2666.4300,6.5100,6.3200,0.7700,7.8870,2.9823
2020-08-24,000015,上证红利,2669.8000,6.5100,6.3200,0.7700,7.8870,2.9998
2020-08-25,000015,上证红利,2660.2900,6.5000,6.3100,0.7700,7.9102,3.0424
2020-08-26,000015,上证红利,2616.6200,6.4600,6.2700,0.7600,7.9452,3.0511
2020-08-27,000015,上证红利,2624.9100,6.4300,6.2700,0.7600,7.9452,3.0599
2020-08-28,000015,上证红利,2661.1100,6.5100,6.3200,0.7700,7.8755,3.0672
2020-08-31,000015,上证红利,2644.0400,7.0000,6.3000,0.7600,7.9102,3.0177
2020-09-01,000015,上证红利,2645.8900,7.0100,6.3000,0.7600,7.3390,3.0478
2020-09-02,000015,上证红利,2645.4300,6.9700,6.2700,0.7600,7.3691,3.1027
2020-09-03,000015,上证红利,2633.8000,6.9600,6.2600,0.7600,7.3691,3.1051
2020-09-04,000015,上证红利,2615.9800,6.9400,6.2400,0.7500,7.3893,3.1228
2020-09-07,000015,上证红利,2604.5300,6.9200,6.2300,0.7500,7.4097,3.1454
2020-09-08,000015,上证红利,2620.9300,7.0000,6.3000,0.7600,7.3290,3.1230
2020-09-09,000015,上证红利,2598.9200,6.9500,6.2500,0.7600,7.3893,3.0805
2020-09-10,000015,上证红利,2580.6000,6.9300,6.2400,0.7500,7.3995,3.0833
2020-09-11,000015,上证红利,2578.0300,6.9400,6.2400,0.7500,7.3995,3.1346
2020-09-14,000015,上证红利,2585.4600,6.9500,6.2500,0.7600,7.3691,3.1532
2020-09-15,000015,上证红利,2591.3100,6.9500,6.2500,0.7600,7.3792,3.1083
2020-09-16,000015,上证红利,2596.3900,6.9800,6.2800,0.7600,7.3390,3.1260
2020-09-17,000015,上证红利,2598.7900,6.9800,6.2700,0.7600,7.3490,3.1334
2020-09-18,000015,上证红利,2635.4700,7.0700,6.3600,0.7700,7.2501,3.1162
2020-09-21,000015,上证红利,2622.3300,7.0300,6.3200,0.7600,7.2894,3.0999
2020-09-22,000015,上证红利,2584.5400,6.9700,6.2700,0.7600,7.3691,3.0863
2020-09-23,000015,上证红利,2588.1200,6.9500,6.2500,0.7600,7.3893,3.0890
2020-09-24,000015,上证红利,2548.8900,6.8900,6.1900,0.7500,7.4713,3.0840
2020-09-25,000015,上证红利,2539.5600,6.8600,6.1700,0.7500,7.5025,3.1295
2020-09-28,000015,上证红利,2547.2600,6.9200,6.2200,0.7500,7.4404,3.1092
2020-09-29,000015,上证红利,2546.5400,6.8900,6.1900,0.7500,7.4817,3.1292
2020-09-30,000015,上证红利,2537.4200,6.8900,6.2000,0.7400,7.4817,3.1482
2020-10-09,000015,上证红利,2575.2100,6.9100,6.2200,0.7400,7.4404,3.1873
2020-10-12,000015,上证红利,2621.1600,7.0100,6.3100,0.7500,7.3390,3.1861
2020-10-13,000015,上证红利,2613.3600,6.9800,6.2800,0.7500,7.3591,3.1950
2020-10-14,000015,上证红利,2606.3000,6.9600,6.2600,0.7500,7.3792,3.2150
2020-10-15,000015,上证红利,2593.1300,6.9900,6.2800,0.7500,7.3691,3.2300
2020-10-16,000015,上证红利,2599.0400,7.0600,6.3500,0.7600,7.3191,3.2202
2020-10-19,000015,上证红利,2587.0400,7.0800,6.3700,0.7600,7.3091,3.2005
2020-10-20,000015,上证红利,2583.7200,7.0300,6.3200,0.7600,7.3390,3.1955
2020-10-21,000015,上证红利,2583.2800,7.1000,6.3900,0.7600,7.2697,3.1855
2020-10-22,000015,上证红利,2568.6600,7.1000,6.3800,0.7600,7.2795,3.1707
2020-10-23,000015,上证红利,2558.6100,7.1100,6.3900,0.7700,7.2697,3.1957
2020-10-26,000015,上证红利,2545.4500,7.0700,6.3600,0.7600,7.3091,3.1934
2020-10-27,000015,上证红利,2538.6500,7.0500,6.3400,0.7600,7.3191,3.1609
2020-10-28,000015,上证红利,2543.0900,7.0000,6.3000,0.7500,7.3591,3.1810
2020-10-29,000015,上证红利,2562.3400,6.8300,6.2900,0.7500,7.3591,3.1860
2020-10-30,000015,上证红利,2543.8200,6.8100,6.2800,0.7400,7.3792,3.1810
2020-11-02,000015,上证红利,2558.9900,6.8500,6.3100,0.7300,7.5552,3.1785
2020-11-03,000015,上证红利,2580.8500,6.8900,6.3400,0.7400,7.5130,3.1762
2020-11-04,000015,上证红利,2603.9200,6.9500,6.3900,0.7400,7.4507,3.1687
2020-11-05,000015,上证红利,2647.8700,7.0000,6.4500,0.7500,7.3691,3.1912
2020-11-06,000015,上证红利,2669.7400,7.0400,6.4800,0.7500,7.3390,3.2063
2020-11-09,000015,上证红利,2718.9800,7.0800,6.5100,0.7600,7.2894,3.2363
2020-11-10,000015,上证红利,2703.9500,7.0800,6.5100,0.7600,7.3091,3.2241
2020-11-11,000015,上证红利,2716.2500,7.1500,6.5800,0.7700,7.2501,3.2391
2020-11-12,000015,上证红利,2735.8800,7.1100,6.5400,0.7600,7.2894,3.2614
2020-11-13,000015,上证红利,2714.0500,7.0100,6.4600,0.7500,7.3792,3.2715
2020-11-16,000015,上证红利,2767.2000,7.0500,6.4900,0.7500,7.3390,3.2741
2020-11-17,000015,上证红利,2778.7900,7.0800,6.5200,0.7600,7.3091,3.2866
2020-11-18,000015,上证红利,2792.3100,7.1400,6.5700,0.7600,7.2501,3.3240
2020-11-19,000015,上证红利,2770.0600,7.1700,6.6000,0.7700,7.2404,3.3487
2020-11-20,000015,上证红利,2787.7500,7.1400,6.5800,0.7600,7.2501,3.3100
2020-11-23,000015,上证红利,2828.4400,7.2400,6.6700,0.7800,7.1538,3.2650
2020-11-24,000015,上证红利,2820.4800,7.2100,6.6400,0.7700,7.1824,3.2900
2020-11-25,000015,上证红利,2786.7700,7.1800,6.6100,0.7700,7.2210,3.2675
2020-11-26,000015,上证红利,2784.9400,7.2500,6.6700,0.7800,7.1633,3.2850
2020-11-27,000015,上证红利,2807.0000,7.4700,6.8700,0.8000,6.9778,3.3000
2020-11-30,000015,上证红利,2768.1800,7.4300,6.8400,0.7900,7.0324,3.2500
2020-12-01,000015,上证红利,2789.8200,7.5600,6.9600,0.8100,6.9239,3.2725
2020-12-02,000015,上证红利,2785.9100,7.5300,6.9300,0.8100,6.9597,3.2925
2020-12-03,000015,上证红利,2761.4500,7.4700,6.8800,0.8000,7.0141,3.2851
2020-12-04,000015,上证红利,2748.2900,7.3800,6.8000,0.7900,7.0879,3.2651
2020-12-07,000015,上证红利,2707.5600,7.2400,6.6700,0.7700,7.2210,3.2701
2020-12-08,000015,上证红利,2701.2400,7.1700,6.6000,0.7700,7.2599,3.2551
2020-12-09,000015,上证红利,2663.5700,7.1400,6.5700,0.7600,7.2894,3.2726
2020-12-10,000015,上证红利,2664.4100,7.1000,6.5300,0.7600,7.3091,3.2601
2020-12-11,000015,上证红利,2669.4400,7.0800,6.5200,0.7600,7.3091,3.2951
2020-12-14,000015,上证红利,2636.2200,6.6900,6.1400,0.7100,7.8870,3.2851
2020-12-15,000015,上证红利,2627.4400,6.6400,6.0900,0.7100,7.9452,3.2777
2020-12-16,000015,上证红利,2624.0400,6.6400,6.0800,0.7100,7.9452,3.2752
2020-12-17,000015,上证红利,2650.7300,6.6800,6.1200,0.7100,7.8870,3.2802
2020-12-18,000015,上证红利,2670.5500,6.6700,6.1200,0.7100,7.8870,3.2902
2020-12-21,000015,上证红利,2676.0000,6.6500,6.1000,0.7100,7.9102,3.2652
2020-12-22,000015,上证红利,2612.2100,6.5300,5.9900,0.7000,8.0521,3.2278
2020-12-23,000015,上证红利,2619.9300,6.5500,6.0100,0.7000,8.0161,3.2153
2020-12-24,000015,上证红利,2605.4400,6.5600,6.0100,0.7000,8.0281,3.2303
2020-12-25,000015,上证红利,2615.9200,6.5700,6.0300,0.7000,8.0042,3.1878
2020-12-28,000015,上证红利,2603.0600,6.5800,6.0400,0.7000,7.9805,3.1629
2020-12-29,000015,上证红利,2579.4100,6.5700,6.0200,0.7000,8.0042,3.1554
2020-12-30,000015,上证红利,2585.1800,6.5600,6.0200,0.7000,8.0042,3.1204
2020-12-31,000015,上证红利,2594.9900,6.6000,6.0500,0.7000,7.9687,3.1429
2021-01-04,000015,上证红利,2593.4200,6.5600,6.0200,0.7000,8.0161,3.1780
2021-01-05,000015,上证红利,2578.0700,6.5100,5.9700,0.6900,8.0883,3.1305
2021-01-06,000015,上证红利,2580.5500,6.5700,6.0300,0.7000,8.0161,3.1256
2021-01-07,000015,上证红利,2568.7500,6.6000,6.0500,0.7000,7.9805,3.1256
2021-01-08,000015,上证红利,2578.9400,6.6500,6.1000,0.7100,7.9102,3.1456
2021-01-11,000015,上证红利,2545.1100,6.6500,6.0900,0.7100,7.9452,3.1632
2021-01-12,000015,上证红利,2567.4000,6.6800,6.1300,0.7100,7.8986,3.1457
2021-01-13,000015,上证红利,2572.8000,6.7300,6.1700,0.7200,7.8525,3.1157
2021-01-14,000015,上证红利,2569.4000,6.7400,6.1800,0.7200,7.8297,3.1059
2021-01-15,000015,上证红利,2584.9100,6.8000,6.2500,0.7200,7.7508,3.1508
2021-01-18,000015,上证红利,2601.7500,6.8200,6.2700,0.7300,7.7397,3.1658
2021-01-19,000015,上证红利,2610.8900,6.8600,6.3100,0.7300,7.7175,3.1609
2021-01-20,000015,上证红利,2602.8600,6.7900,6.2500,0.7200,7.7732,3.1610
2021-01-21,000015,上证红利,2610.6700,6.7800,6.2400,0.7200,7.7844,3.1335
2021-01-22,000015,上证红利,2580.6900,6.6600,6.1400,0.7100,7.8986,3.1185
2021-01-25,000015,上证红利,2544.1400,6.6300,6.1300,0.7100,7.9218,3.1323
2021-01-26,000015,上证红利,2536.2000,6.6300,6.1200,0.7100,7.9452,3.1585
2021-01-27,000015,上证红利,2533.3500,6.6600,6.1600,0.7100,7.8986,3.1636
